Game,Platform,Record,Link
Ace Combat 6: Fires of Liberation,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
ACE COMBAT 7: SKIES UNKNOWN,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Ace Combat Assault Horizon,360,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Advanced Busterhawk: Gley Lancer,MD,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Age of Mythology,PC,None,
Air Buster,MD,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
AKIBA'S TRIP: Hellbound & Debriefed,PSP,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
AKIBA'S TRIP: Undead & Undressed,Vita,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Alan Wake,360,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Alice: Madness Returns,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Alien Crush,PCE,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Aliens vs. Predator,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
ALLTYNEX Second,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Animal Crossing: New Horizons,Switch,None,
Animal Crossing: New Leaf,3DS,None,
Armored Core 4,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Armored Core For Answer,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Armored Core V,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Assassin's Creed,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Astebreed: Definitive Edition,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Asteroids,ARC,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Atelier Sophie: The Alchemist of the Mysterious Book,Vita,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Atom Zombie Smasher,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Balatro,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Baldur's Gate: Dark Alliance,PS2,None,
Baldur's Gate: Dark Alliance 2,PS2,None,
Baldurs Gate: Enhanced Edition,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
BALL x PIT,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Batman: Arkham Asylum,PS3,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Batman: Arkham City,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Bayonetta,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
BioShock,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
BioShock 2,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
BioShock Infinite,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
BlazBlue: Calamity Trigger,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Bloodstained:  Ritual of the Night,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Bloodstained: Curse of the Moon,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Borderlands,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Borderlands 2,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
BRAVELY DEFAULT FLYING FAIRY,3DS,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Call of Duty 4: Modern Warfare,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Call of Duty: Black Ops,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Call of Duty: Black Ops III,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Call of Duty: Modern Warfare,PS4,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Call of Duty: Modern Warfare 2,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Call of Duty: World at War,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Castlevania,NES,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Castlevania: Harmony of Despair,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Catherine,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Centipede,GBC,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Chaos Legion,PS2,None,
CloverPit,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Command and Conquer,DOS,Origin,
Command and Conquer: Red Alert,DOS,Origin,
Contra,NES,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
DARK SOULS II: Scholar of the First Sin,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DARK SOULS: REMASTERED,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DarkStar One: Broken Alliance,PC,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Dead Island,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
